content,polarity
"@GarbiMuguruza 
Yo cuando pueda quiero tener el Omega Constellation,, con los numéricos romanos. ",P
@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal... ,N
Hoy quiero hacer otro juego de estos de tw pero esque son todos iguales ,N
"@Eleder_ Que tampoco ahora mayoría absoluta, eh? ",NONE
Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!,N
"@Paco_Jone Qué fácil es quedarse calladito, bajarse los pantalones y no decir ni mú... Cuánta ignorancia en tu ""opinión"". Saludos ",N
"Yo
Me cago
En los muertos
De todas
Las bacterias malignas
De mi
Garganta

.",N
@reyminguela20 la próxima vez que vaya a Madrid no estarás en mis planes. Maldita ,N
"@serbailop Totalmente. Aunque la post-tertulia ha sido muy interesante, hablando de todo esto, y la evolución (e involuciones) del cine ",P
"@sosagraphs Pues tan sencillo porque en su día me puse a hacerlo y es de lo que mas encargos me hacen, aparte tengo mas estilos crack ",P
@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía Nules ,P
"@hayar_96 abandoné mi tierra y llegué justo ayer a España, estoy sensible, te odio ",N
"Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no ",N
@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj),N
"@Kosto_Trading @juanrallo Lo de prohibir el casco e ir enmascarado también es arbitrario y sectario, no? ",N
@lirondos Ya lo tenía fichado y tengo ganas de darle uso  ¡¡Gracias!! ,P
@elapersw buenas tardes! Se puede pasar? ,NONE
@radioskylab_es ¡Pero explicar a fondo las zonas habitables y que condiciones necesita un planeta para serlo! ,NONE
"@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!",P
"#Otegi inhabilitado   #EsLaSentencia 
Mujeres tapadas hasta los ojos #EsSuCultura
Teneis un sentido inamovible del mundo y de la vida.",N
"@santicid ay, gracias. Lo malo es que ese es solo para primer viaje. Pero mil gracias igualmente ",P
"Madrid está lleno de comida y crushes, no me llevéis de aquí ",N
@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este ,N
"Es worth para coger el bonus, pero es mucho más divertido luchar ",NEU
"@SirDeschain @ChicaCascabel @reptarazul más bien tas tenía aprecio por raistlin, yo creo que al mago le daba un poco igual todo ",N
"@Asukawachan Gracias  ya me pasó una vez y los antibióticos fueron milagrosos, estoy deseando que vuelva mi madre con ellos ",P
@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede ,N
"@Tidxs_ 27. Parece que las cosas no te van muy bien, espero que todo mejore, que todo el mundo merece ser feliz ",NEU
@amartino @yagoperrin los dos amigos menos quejicas que tengo ,P
@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!! ,P
"Eso sí, demasiada sobredosis de guiños, cameos, homenajes, frases y planos repetidos de la original. Pero bueno, se acepta ",NEU
"@David_Goen00 venga jimbre, lo que debes haver es hacerte cadista ",NEU
Dio tener un perro es la ilusión de mi puta vida ,P
@RoyalDarjeeling Muy mal!!! jajaja mas Geralt de rivia y menos juego de tronos ,N
Por qué me gusta más tu personalidad que cualquier espalda ancha ,P
@SergioSmiles Mirate D gray-man desde cero puta ,N
"@BerothW Por supuesto, en el Mercadona.
Hombre, encima que soy crush de alguien ",NEU
hay alguien apuntando a mi ventana con un laser define pesadito ,N
@carlotalotalota Me apena que haya pasado esto porque la idea de crear un colectivo estatal con divisiones locales era algo poderoso ,N
"odio a lucia la vd, mi amor hacia ella es una gran tapadera pa comer nutella en su casa ",N
No entiendo de verdad porque la gente cree que en realidad me la suda ,N
@dovesandletters @SeveZubiri @Lady_Lolita @teleSURtv ese es Seve que se pone exquisito. Yo más de andar por casa (menos florida) ,NEU
"Llevo como una hora repitiendo ""No debí haber bebido ese último Monster"" teniendo que madrugar 
Mi vida.",N
"@BrujadelTuiters . Estas palabras, del Poema, INSTANTES, son de Nadine Stair. Escritora norteamericana, a la q le gustan los helados.  ",NEU
preparándome un colacao pa olvidarme de aquel bacalao... ,NEU
gracioso bc en la película de Nunca apagues la luz utilizan luz negra y hoy he llegado a casa y han puesto uno en el baño ,P
nos lo habíamos encontrado y estaba asustado cruzando una carretera y al final nos hemos tenido que marchar sin él. ,N
"@unculemadrid si al final acabamos hablando un rato, era muy simpática  @jovigobi",P
"@PanchoGustavo tío peguemos al Lau 
Sigues teniendo mi primer grinder?",NONE
Este año el Madrid hará triplete y si lo hace me rapo al cero  grabad el mensaje jejej #ChiringuitoPiqué,P
@valenciacf Mis sentimientos y mi orgullo por el Valencia son muy grandes. Yo quiero lo mejor para el Valencia. ,P
"@przuppo @lolap245 me quedo con lo primer ""un pensamiento en un clic"" ",NONE
@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción ,P
Gracias tormenta por aparecer justo cuando me voy a meter en cama solita ,N
@Monysito pues pocas cosas más bonitas puedes ver en la vida oye ,P
"@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos ",P
@Monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda ,N
"@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular ",P
Mañana es muy probablee que caiga un directo!! Y ya sabeis lo que pasa en los directos... ,NEU
@Paloma_cv12 el club de la comedia se ha quedado demasiado grande #monologuista Jaja ,NEU
"Lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo ",P
@Jorgeoneer ya pero no soy mucho de pc. No es muy potente el mío ,N
"@MiguelBarranco5 @llautet @BelenFGonzalez @pastoreta1 @BetEmilio @txemadomi @Minadeideas hola miguel no,ahora estoy en ella ",NONE
"Nominada por @learamartell  
Aquí van nuestras pelis y nuestros taggeados.  https://t.co/hWqxW19Rjr",NONE
Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo ,N
"@aitor48 Prohibirlo, no. Se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo",N
"@Lahierritos pues sabran més q jo  

*curso CCC de mirones y mironas ",N
"He puesto la radio solo pa escucharle jajajajajajaja ai, que ganas de verle ya ostia ",P
@Slow_Dancer_ TOTALMENTE  Pobre Gappy... que inocente es  no sabe con quien se ha encontrado.,N
"@Tidxs_ 2. Hace mucho tiempo hablabamos por skype por un amigo en común y estaba guay, además de que eres muy mona! ",P
"Buen partido a todos @overgame_org , suerte en la final de losers y a ver si nos volvemos a ver en la gran final. Saludo a esos casters ",P
@levante_emv @valenciacf Un capullo menos en el Valencia. Si no esta al 100% con el Valencia lo mejor es venderlo. ,N
@Angela_M_A_ hombre me dices que se oía mal  yo soy defensora de Amaiah a morir JAJAJ,NEU
"Quiero que vuelva el invierno  y ponerme pantalones largos y chaquetas y sudaderas y abrigos, puto verano.",N
Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche ,P
"@DaniRS95 somos el PACMA, a todos caemos bien pero nadie nos quiere.

Lloremos juntos ",N
Cuando sufres porque no encuentras emulador para jugar al pokemon rubí en iOS 9.3.4 ,N
@Lentejitas @Manuj_Hidalgo @lupesb77 convenciendo a mi hija mayor para verlo ,NONE
@ideiazabaldu no queda ni un país árabe laico... Hasta con Argelia y Tunez están acabando ,N
Estoy muy nerviosa por el partido ,NEU
"@olivares_javier Intentan salvar a Lincoln como Julián con Lorca... Aparte de que es una copia descarada de MdT, no se parecen en nada ",N
"@_tontonina porque somos de Móstoles, salir de nuestro ambiente es difícil ",N
"ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas 

- machirulo 

QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA",N
@sweetbiix pues ahí lo tienes. Si tú no huyes entonces eres una luchadora y no una cobarde no? ,P
"Es conveniente tener un Gobierno democrático que cumpla su función politica. NO lo es tener un Gobierno que representa la #corrupciónPP
",N
@ann_lloret99 @luv_m0ney_party los salidos son los q suben cosas a esa página no yo ,N
"otra noche hasta las 4 de la mañana despierta, aburrida y sin sueño, lo veo venir... ",N
@CrususMusus_ me lo apunto en la lista de cosas posibles de hacer ,NONE
"@ShawnUpdatesSA esta no es, le tienes que dar a US Store, solo se vende en US y Canadá  por ahora claro.",N
Es triste que casi todas mis series acabadas hayan sido porque las han cancelado ,N
@adri_buzo @FulgenLison Nop. Pero ahora me queda más claro el asunto  Gracias !,P
Sólo quería hablar con gente en verda ,NEU
como entraba una conversación de estas largas de hablar toda la noche con alguien ,NONE
@Kosto_Trading @juanrallo O ponerte un casco de moto que te cubra por entero ,NONE
"Hey, @rebecarus, que me dice Amazon que ""Todas las bodas necesitan un plan B"" ya está cargado en mi Kindle. ¿Empiezo ya o qué? ",NONE
"@yolanday_y @el_pais Tras 72.000 años de viaje, conformate con que haya moléculas de Potasio y estén buenas ",P
@mafolu2 no creas. Pero me gusta tener a la gente engañada  @GranCTimes,P
Tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga ,N
"Mira que soy pesimista a maza, pero odio que la gente sea TAAAAN pesimista ",N
"@vanderhast Jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno!! ",P
"@VioletaTrujillo yo me resigno con alguna gente, si se creen a este personaje es porque no están dispuestos a escuchar ",N
"@Baronachor El concepto es de lo más bonico, pero de eso a serlo hay un trecho ",NEU
"Voy a estar unos días desaparecida, me estoy quedando sin gigas jajajja  q vida + triste !!! Me voy al parque con los perros..",N
Tener las piernas llenas de picaduras de mosquitos que parecen heridas NO ME HACE GRACIA. ,N
@liamverse se llama saber cual es la mejor forma de crear estructuras que aguanten ese peso ,NONE
"@Mercadolibre Enhorabuena por los geniales resultados económicos de récord del trimestre pasado, hacéis un gran trabajo ",P
Hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima ,N
"@CrimsonGhost__ Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres ",N
@PattyCavallone Para los chicos es mil veces más fácil donar que para las chicas ,NEU
lo malo es que faltaba su mid y acabaron haciendo remake ,N
@Diego_FDM @el_pais La noticia perfecta para #NotasDelMisterio ,P
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,P
El Espanyol interesado en Aktí Mel para reforzar su defensa esta temporada. Llegaría por 2 millones del L-Casei Imunitas griego ,NONE
"@juliojota96 Perdóname la maldad, Julio, que sabes q te quiero, pero borrándose del AMI se combate al menos a los separatas    ",P
@Iluminaughty_ @Spiegel_Spike_ pues me da igual  yo escribo lo que pienso ^^ y cuando lo pienso ajajaj si es que lo pienso ,NONE
"@miguelagaiteiro @cultrun @lozanoirene Si hay que pecar de algo, que sea de ser buena gente! ",P
"@JuakyB me quedo tranquilo entonces, pero iré mirando la opción del coche ",P
Mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca ,N
He salido de casa sin ir al baño y me estoy meando como una persona mayor ,N
"@ferdiazgil @FranDguez sí, lo he leído  ese templo grande es el que he puesto en IG. Ha perdido su parte superior y está inaccesible",N
"@AdriMarinaB Así me gusta, cada cosa a su CCAA. Así dejamos de cargar las culpas a nuestra querida nación. ",N
"@ManudeOrleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70 ",N
"@pobrezacero @nuevatribuna @ruthtoledano @FelipeAlcarazM @carlosbardem @carnecrudaradio @agarzon @cayo_lara Vamos mal, no... peor ",N
"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a Rusia en breve ",NEU
Silvia pesada deja de dar rt que me sale doble notificación ,N
"@NeithanWolf @Cinefila_91 @Cinedepatio @SensaCine ""Resultad Sobrevives"" lo de estar loco funciona  ",NEU
"@concht1 pero nos hemos desmovilizado, Concha. Nosotros/as solas dejamos las calles. Así nos va  @CiudadanosCs",N
"Me he agobiado muchísimo porque no encontraba a mis amigos en el Bar, luego he recordado que no tengo amigos y me he puesto feliz ",NEU
en realidá é algo duro de asimilar ni el alcohol me ayuda ,N
@Boardgametotal los ábacos si están permitidos. Sobre todo porque la mayoría no saben usarlo ,N
@beautyblog_es @isasaweis @_ANAMILAN_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no?😀😀😀,P
tio os quiero mil a los que me habéis hablado ,P
@peroquedicesss en realidad es hipócrita todo eso como la camiseta esa de femimism del hym pero creo que en la vida cotidiana algo hace ,N
"Había un hombre en la calle.
Estornudó y yo desde la ventana le he dicho ""salud""
Me miró mal y siguió caminando 
",N
"Me veis en persona, no me saludais y luego me hablais para decirme que me habeis visto ",N
"@BlasAuryn si es que no puedo olvidar cuando te viii, imposible. Que resumiendo, no te puedo olvidar  y no lo haré jamás chiqui ❣️💞",P
"@DTM_Spain    En las carreras es al revé a más interés, más coches  ... pero tú mismo lo dices, es una empresa, aunque se venda ...",P
@Garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,N
"@Sorayita_push Bien bien, si estan celebrando un cumpleaños, si todos nacieron el mismo dia hahahahahahha al menos son dos capítulos ",P
"@Betvs_19 cucha, una independentista escribiendo en español!! Por muy del Barça que soy, te vas a buscar la vida  grassias.",N
Porque son tan manipulables los pequeños ? Y porque no ven a su padre igual que a su madre ? Triste ,N
@ApoyoCR7 Muy chulas esas gafas Paula  Y lo de guapa es talento innato tuyo :,P
"@DiegoPajaron @miguel_prat dicen que tira pa, san Mateo ahora Jaaja ",NONE
Esta tarde me voy a comprar un juego que estuve esperando muchísimo tiempo... posiblemente lo suba esta tarde-noche  Yoshi aparece ,P
"Qué depresión me entra, de seguro gana gente que solo dio RT porque sí, por probar suerte y no verdaderos fans ",N
"Gracias Victorerubio por recomendarme el seguimiento de @MandalaBeach. Artistas de talla internacional, monólogos y musica en directo ",P
@sabrygarciarena Muy sexy Sabrina! Besitos y feliz día! ,P
@RyFsw jajajaja.... eso es una indirecta  preparate #F que quiere reformar el baño,N
WORK FROM HOME!! Sería espectacular y poder verlas más!  #ConMTVal727Tour,P
"Esta bien tener hermanos, siempre y cuando uno de ellos no decida ser subnormal perdido ",N
@DiegoPajaron @miguel_prat doble sub-campeón de Europa  algo es algo jaja,P
@LuisFBonilla @isabelsevilla9 @adirecto @peichsantana Ole los buenos almerienses!!!! Mil besitos!!!! ,P
"@ToniThrowdown ahora tengo un dilema. Ayúdame Toni 

Y en 3DS porque me salió a 25 euros nuevo https://t.co/2bSRMWnrZ5",NONE
lo mejor es que son conversaciones normales y corrientes sin ningún ánimo de ligar pero  simplemente porque no se ligar ,NEU
"@DieRaposa @DrXaverius y otros biólogos como él se sentirán complacidos.

¡Mola mucho! ",P
"Estás haciendo MUY feliz a todo mi tl,yo también quiero que me sigas  @BlasAuryn",P
"@iruri gracias, ya eran necesarias tras un duro año de trabajo  ¿has cogido tú ya?",P
"@MrMedra ay, joder, que resulta que es completamente vegana. Pues ya no me la compro. ",N
@__mxty Para cuando me escribes mi nombre bien precioso ,N
"@Jabokatu yo no tengo ni idea y soy la primera que dice ""tiempo reglamentario""  pero en su día me convencieron de que estaba mal dicho.",N
"@JeCaSWords @Humoryfotos El tuit va acompañado de una foto que quiere decir lo contrario, SÍ es sarcasmo ",NONE
"@edortaramirez un click más, scroll y a veces el usuario se queda un poco colgado sin saber bien lo que tiene que hacer ",N
"@Ronan_Coke @angelesuc1 @josecg96 @Airatarra @andarellabcn Muy triste, pero no olvidemos la inestimable colaboración del estado en ello  ",N
@escapeofthecrow el rottweiler es precioso pero... Esta zumbadisimo y ataca  y yo muero de ganas de achucharlo,N
@rossiepussie @luciakawaii1 te lleguen a entender y a respetar. Muy malos tienen que ser para obligarte a comer algo a la fuerza ,N
"Si es que llegáis aquí desde mi Favstar del cretácico y claro, luego no me duráis ni un suspiro. Que mis neuronas no son como antes, jopé ",N
@AndreaNavedo Hola bella Andrea!! Qué tengas un maravilloso día!! Besitos! ,P
En fin estoy más sola que la una viendo como una bollera duerme y esperando como un perrito pa q me saquen a pasear ,N
"@mamarracha2000 yo los vi en el Low cost de hace 3 años y me decepcionaron, aunque dicen que lo mismo hacen una cagada o son la hostia ",N
@TodoMegaDrive esta vez me decanto por la japonesa. P. Me encanta la batalla de caratulas ,P
@MarckLebowski michael jackson tambien y la gente canta sus canciones ,NONE
@Miraqbien podrías solidarizarte conmigo y no comer ninguno... ,NEU
@kioskoAMM @gloris72 @olivares1965 @Tomasimedia @madeinLeon Gracias pero los importantes sois vosotros.  Los mediadores.  Sois muy buenos ,P
Volviendo a la actividad en #PlanetaInquietante con otro curioso hallazgo en Canelas.  #Portonovo,NONE
"@RarrochaR bien dicho Roberto,  las cosas por su nombre,  porque nadie dice cola cado ",P
"me acaba de seguir una página para ligar por gustos musicales.
sé que estoy sola pero ",N
Tengo una hermana que con ella no me puedo aburrir jaja creo que todas las gilipolleces las ha aprendido de mí. Es como una segunda Nicky ,P
@FannyGEnguix estarás super mona  cuando pueda lo miraré yo también. Me molaría grupal de 'chicas Spidey',P
"@EstherSwaggy ¿haces también la misma carrera? Jo, igual de una comunidad a otra cambian, be positive ",NEU
@Polifack yo es que me asustó muy fácil con el rollo paranormal ,N
"@BroomKurosawa pues descansa tío, si se pone grave la cosa no podrás jugar en muchísimo tiempo ",N
@cantabriamiguel @Fabiana_tfp @elmundoes @larazon_es @elpais_espana n escarmentams a ver si van a ser mismas encueshshtasshs eh @ierrejon ,N
Sara piensa q vivo rayada xq me duermo escuchando a beret y weno ,N
yo con un mensaje de buenos días y un corazón soy feliz ,P
@anhela_ @Maxferibar @elprogramadear @PSOE así es compañera. Un fuerte abrazo! ,P
@NormaRuiz01 Y tú tan estupenda como siempre!! Besitos y feliz día!! ,P
al menos con ftwd se me hace más ameno esperar a twd en Octubre ,P
@FunInFvneral qué burrada pusieron hoy?? Que llevo meses bloqueada por otra heterada y me lo perdí ,N
@YEYIximmm hace una semana que se sabe  yo ya espero la edicion completa del juego ,NONE
@NuriStill @MartuBlackRed pues si eso haré.. y lo sigo haciendo  ya que haga lo que quiera. No pasa nada.,NEU
"es que todos los que dicen que los que escuchamos a ""los gemeliers"" somos adolescentes de mierda son los primeros adolescentes de mierda ",N
Hay videos que no se envían porque no tengo espacio en el móvil así que lo siento ,N
"2h y 31m para que acabe tu descarga 
Me cago en mi puta vida.",N
"@txispitabi no te había reconocido en este perfil  El placer es mutuo, guapa!",P
@ConsueCaballer jajajajaja pues que se vuelva loco conmigo leches... llevo dias petándolo y nada... ,N
@EduEmoEsc muchas gracias por seguirme. Nos leemos ,P
@victorypeace76 @martiade @YouTube lo de la sortija es un buen detalle!! gracias ,P
Me recomendais alguna silla gaming buena please ,NONE
@Escuarantula sigo siendo feo pero es que cuando me conociste no tenía el pelo rojo ,N
"Pocas maneras mejores se me ocurren para empezar una semana... 
https://t.co/P5wOXm5ffl",P
"gracias por ser mi sorpresa y ser tan genial, nos vemos pronto seguro @AntonLofer ",P
@2KEspana sabéis si el NBA 2k17 va a tener juego cruzado entre pc y ps4? por ejemplo? ,NONE
Ya a saber cuando vuelves a hacer un #FollowExpress  lloro @BlasAuryn,N
¿Algún día seré feliz por tener tu follow? @BlasAuryn ,N
@CiudadanO_O @Moralzarzal con lo fácil q sería educar para éstas cosas... qué pena ,N
"Hoy microaventura en #kayak con dos expertos kayakistas 
Ría de Villaviciosa. @ El Puntal… https://t.co/y7j88bRmYK",P
"Quiero esta figura de Madison  ojalá que la próxima en salir sea Alicia
https://t.co/dTnJsrR8to",P
@ladyfrigopie no lo has dicho. Eres rara.. bueno eres diferente ,N
"Preparando la maleta, proxima parada #huelva #fiestasconamigas  💃🏻👯🚆",NONE
"@ADios_hi @elespanolcom Pues menudo susto. Al poner ""Tolerdo"" pensé que se refería a su parodia @WillyTolerdoo ",N
"Rubén y Mangel deberían hacer como en 2013 y mencionarse en Twitter a cada rato.

Así nos harían felices  *no lo hacen*",NEU
@AntonioPV98 @CeliaOgalla28 mis amigos hablando jodes .... K bonita amistad ,N
"@KatyKlav se siente, ya está dicho ",NEU
"buenos billete pa cuba comprado, ahora a hacer mas dieta porque se ha deretido la tarjeta ",P
@PapelitoRojo @sushuneta fue genial  debemos organizar más cosas así sin necesidad de que nadie abandone el país 😂,P
"@NeoDonNadie de sobra, si solo somos 3  dime tu ID y ya te agrego ",NONE
@ericelhumano a las lesbianas machorras y eso ya no lo veo bien  de hecho lo malo de las pelis es que los suelen poner de personajes ...,N
@ranlemontralara estamos todos juntos en esto ,NONE
"@slcuervo no se valora el potencial del español como lengua informativa en internet, negocio que se le escapa entre los dedos a España. ",N
En fin @kenneos espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!,P
"@Bvillamor_gay ha sido un placer! Muy profesionales  hoy en @ed_tve a las 19,39 ",P
"@luciaaaypunto No se , creo que no . Yo solo mire mi fecha ",NONE
@Ana_d_Armas Tú tan bella y con estilo como siempre! Te mereces siempre lo mejor!! Eres maravillosa!! Besitos y feliz día! ,P
"@cigotenks Me apiado de ti, yo me entero de que existen porque tú los encuentras. O sea, alguien los lee primero ",N
Quiero hacerle algo especial a David para que cuando lo vea sonria pero no se me ocurre nada ,NEU
